dbn,name,schoolyear,fl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
03M076,PS 076 A. PHILIP RANDOLPH,20082009,81.4,355,6.2,16.3,0.0,79.2,18.3,1.4,52.7,47.3,,,,,,,
03M084,PS 084 LILLIAN WEBER,20082009,65.5,458,14.0,13.8,3.5,27.3,54.4,13.1,50.4,49.6,,,,,,,
03M087,PS 087 WILLIAM SHERMAN,20082009,15.1,919,3.4,15.8,5.7,15.6,19.8,57.1,51.6,48.4,,,,,,,
03M145,PS 145 BLOOMINGDALE SCHOOL,20082009,75.8,485,20.6,19.8,3.7,29.5,60.8,4.7,50.5,49.5,,,,,,,
03M149,PS 149 SOJOURNER TRUTH,20082009,76.3,411,9.2,21.4,2.4,75.9,20.9,0.7,50.6,49.4,,,,,,,
03M163,PS 163 ALFRED E SMITH,20082009,45.6,633,9.2,15.8,2.7,25.6,46.3,23.9,51.8,48.2,,,,,,,
03M165,PS 165 ROBERT E SIMON,20082009,78.6,654,25.7,16.7,3.1,19.6,69.3,6.6,54.6,45.4,,,,,,,
03M166,PS 166 THE RICHARD ROGERS SCHOOL OF THE ARTS AND,20082009,30.2,610,6.1,10.5,7.5,18.0,26.9,45.6,48.2,51.8,,,,,,,
03M180,PS 180 HUGO NEWMAN,20082009,81.9,601,7.7,9.0,0.8,75.7,21.3,1.7,46.4,53.6,,,,,,,
03M185,PS 185 JOHN M.LANGSTON,20082009,76.4,264,13.3,11.0,1.5,67.4,27.3,1.1,51.5,48.5,,,,,,,
03M191,PS 191 AMSTERDAM,20082009,64.6,290,4.8,20.7,5.2,39.7,44.1,8.3,51.4,48.6,,,,,,,
03M199,PS 199 JESSIE ISADOR STRAUS,20082009,6.7,662,4.1,15.6,12.8,6.0,10.3,69.2,53.6,46.4,,,,,,,
03M208,PS 208 ALAIN L LOCKE,20082009,79.8,203,10.3,25.6,2.0,70.0,27.6,0.5,50.2,49.8,,,,,,,
03M241,PS 241 FAMILY ACADEMY,20082009,80.9,299,21.1,20.7,1.7,75.3,21.4,1.7,55.5,44.5,,,,,,,
03M242,PS242M G. P. BROWN COMP. SCHL.,20082009,73.2,242,8.7,23.1,1.2,76.4,19.0,1.2,50.8,49.2,,,,,,,
03M243,MS 243 CENTER SCHOOL,20082009,38.2,214,,10.7,7.9,23.4,13.1,55.1,47.7,52.3,,,,,,,
03M245,MS 245M THE COMPUTER SCHOOL,20082009,26.8,362,3.6,13.5,11.0,26.2,26.2,35.9,45.3,54.7,,,,,,,
03M246,MS 246M CROSSROADS SCHOOL,20082009,71.8,125,10.4,31.2,2.4,41.6,53.6,2.4,49.6,50.4,,,,,,,
03M247,MS 247M DUAL LANGUAGE MID. SCH,20082009,89.7,195,30.3,22.1,0.0,0.0,99.5,0.0,47.2,52.8,,,,,,,
03M250,MS 250 WEST SIDE COLLAB. M.S.,20082009,76.8,188,6.9,27.1,2.7,27.7,62.8,6.4,40.4,59.6,,,,,,,
03M256,MS 256 ACAD. & ATHL. EXCELLENC,20082009,71.6,173,6.9,22.0,0.6,45.1,48.0,5.2,53.8,46.2,,,,,,,
03M258,MS 258 COMMUNITY ACTION SCHL.,20082009,66.9,249,4.8,24.1,2.0,43.8,51.4,1.6,42.6,57.4,,,,,,,
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,20082009,64.1,384,4.4,13.0,1.0,54.7,42.2,0.8,38.5,61.5,50.0,14.3,1.8,12.5,35.7,33.9,16.1
03M299,HIGH SCHOOL FOR ARTS IMAGINATION AND INQUIRY,20082009,64.0,408,12.7,16.4,2.2,40.9,52.5,2.9,56.4,43.6,,,,,,,
03M307,THE URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,20082009,64.6,361,6.4,15.8,1.1,40.4,51.5,5.5,55.7,44.3,59.5,41.8,0.0,41.8,17.7,32.9,6.3
03M333,PS 333 MANHATTAN SCHOOL FOR CHILDREN,20082009,24.0,715,2.0,14.3,6.6,21.7,25.0,43.8,47.6,52.4,,,,,,,
